Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1526259600.0,2018-05-14 01-AM,ETHUSD,730,733.95,722.31,732.9,30.33,22109.89
1526256000.0,2018-05-14 12-AM,ETHUSD,728.51,733.37,715.11,730,198.12,143293.69
1526252400.0,2018-05-13 11-PM,ETHUSD,736.29,737.69,728.51,728.51,92.26,67446.63
1526248800.0,2018-05-13 10-PM,ETHUSD,729,736.29,729,736.29,35.71,26164.29
1526245200.0,2018-05-13 09-PM,ETHUSD,733,742.04,726.76,729,180.06,132743.06
1526241600.0,2018-05-13 08-PM,ETHUSD,730.12,740,726.02,733,152.72,112547.59
1526238000.0,2018-05-13 07-PM,ETHUSD,734.49,736,726,730.12,193.37,140926.83
1526234400.0,2018-05-13 06-PM,ETHUSD,718.98,735,718.98,734.49,144.67,105769.7
1526230800.0,2018-05-13 05-PM,ETHUSD,732,738.53,714.92,718.98,297.05,215773.06
1526227200.0,2018-05-13 04-PM,ETHUSD,727,736,721.23,732,948.76,694145.13
1526223600.0,2018-05-13 03-PM,ETHUSD,721,728,713.21,727,415.67,299678.02
1526220000.0,2018-05-13 02-PM,ETHUSD,703.92,721,701,721,306.92,217996.32
1526216400.0,2018-05-13 01-PM,ETHUSD,700,704.91,695,703.92,83.09,58088.63
1526212800.0,2018-05-13 12-PM,ETHUSD,695.14,704.91,694.92,700,161.23,112771.6
1526209200.0,2018-05-13 11-AM,ETHUSD,690,697.71,688.92,695.14,135.05,93384.56
1526205600.0,2018-05-13 10-AM,ETHUSD,700,700.09,687,690,216.38,149529.47
1526202000.0,2018-05-13 09-AM,ETHUSD,680,703,678.01,700,359.65,249997.89
1526198400.0,2018-05-13 08-AM,ETHUSD,685.87,687,678.12,680,93.11,63696.46
1526194800.0,2018-05-13 07-AM,ETHUSD,685.61,687,680,685.87,37.07,25352.2
1526191200.0,2018-05-13 06-AM,ETHUSD,673.99,687.34,673.99,685.61,207.88,141044.99
1526187600.0,2018-05-13 05-AM,ETHUSD,670,676.53,667.95,673.99,25.02,16805.73
1526184000.0,2018-05-13 04-AM,ETHUSD,680,683.67,670,670,109.99,74343.65
1526180400.0,2018-05-13 03-AM,ETHUSD,677.49,684.46,673.57,680,80.44,54628.52
